Occurred On (NT),Cleared On (NT),MO Name,Name
02/01/2025 21:12,02/01/2025 21:15,"NodeB Name=NLEGRS1484, LogicRNCID=140",NodeB Unavailable
02/01/2025 21:12,02/01/2025 21:15,"NodeB Name=NLEGRS0690, LogicRNCID=140",NodeB Unavailable
02/01/2025 22:11,02/01/2025 22:35,"NodeB Name=GUALEO0325, LogicRNCID=160",NodeB Unavailable
02/01/2025 22:13,02/01/2025 22:37,"NodeB Name=TAMREY1266, LogicRNCID=141",NodeB Unavailable
02/01/2025 23:55,03/01/2025 02:28,"NodeB Name=TAMREY1266, LogicRNCID=141",NodeB Unavailable
03/01/2025 01:54,03/01/2025 02:11,"NodeB Name=NLEAPO1385, LogicRNCID=140",NodeB Unavailable
03/01/2025 01:54,03/01/2025 02:11,"NodeB Name=NLEAPO1389, LogicRNCID=140",NodeB Unavailable
03/01/2025 01:54,03/01/2025 02:11,"NodeB Name=NLEAPO0541, LogicRNCID=140",NodeB Unavailable
03/01/2025 01:54,03/01/2025 02:11,"NodeB Name=NLEAPO0546, LogicRNCID=140",NodeB Unavailable
03/01/2025 01:54,03/01/2025 02:11,"NodeB Name=NLEAPO1382, LogicRNCID=140",NodeB Unavailable
03/01/2025 01:54,03/01/2025 02:13,"NodeB Name=NLEAPO0531, LogicRNCID=140",NodeB Unavailable
03/01/2025 02:15,03/01/2025 02:20,"NodeB Name=NLEPGG0882, LogicRNCID=140",NodeB Unavailable
03/01/2025 02:21,03/01/2025 02:22,"NodeB Name=NLESGO0943, LogicRNCID=140",NodeB Unavailable
03/01/2025 02:21,03/01/2025 02:22,"NodeB Name=NLEMTY0779, LogicRNCID=140",NodeB Unavailable
03/01/2025 02:21,03/01/2025 02:22,"NodeB Name=NLESGO1931, LogicRNCID=140",NodeB Unavailable
03/01/2025 02:22,03/01/2025 02:26,"NodeB Name=NLEPGG0882, LogicRNCID=140",NodeB Unavailable
03/01/2025 02:36,06/01/2025 16:28,"NodeB Name=DURLRD0492, LogicRNCID=140",NodeB Unavailable
03/01/2025 02:41,03/01/2025 02:58,"NodeB Name=NLEAPO1385, LogicRNCID=140",NodeB Unavailable
03/01/2025 02:41,03/01/2025 02:58,"NodeB Name=NLEAPO1389, LogicRNCID=140",NodeB Unavailable
03/01/2025 02:41,03/01/2025 02:58,"NodeB Name=NLEAPO0546, LogicRNCID=140",NodeB Unavailable
03/01/2025 02:41,03/01/2025 02:59,"NodeB Name=NLEAPO0541, LogicRNCID=140",NodeB Unavailable
03/01/2025 02:41,03/01/2025 03:00,"NodeB Name=NLEAPO0531, LogicRNCID=140",NodeB Unavailable
03/01/2025 02:41,03/01/2025 02:58,"NodeB Name=NLEAPO1382, LogicRNCID=140",NodeB Unavailable
03/01/2025 02:45,03/01/2025 02:50,"NodeB Name=DURLRD0490, LogicRNCID=140",NodeB Unavailable
